UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 11:36 ?        00:00:10 /sbin/init splash
root           2       0  0 11:36 ?        00:00:00 [kthreadd]
root           3       2  0 11:36 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 11:36 ?        00:00:00 [kworker/R-rcu_g]
root           5       2  0 11:36 ?        00:00:00 [kworker/R-rcu_p]
root           6       2  0 11:36 ?        00:00:00 [kworker/R-slub_]
root           7       2  0 11:36 ?        00:00:00 [kworker/R-netns]
root          10       2  0 11:36 ?        00:00:00 [kworker/0:0H-events_highpri]
root          12       2  0 11:36 ?        00:00:00 [kworker/R-mm_pe]
root          13       2  0 11:36 ?        00:00:00 [rcu_tasks_kthread]
root          14       2  0 11:36 ?        00:00:00 [rcu_tasks_rude_kthread]
root          15       2  0 11:36 ?        00:00:00 [rcu_tasks_trace_kthread]
root          16       2  0 11:36 ?        00:00:00 [ksoftirqd/0]
root          17       2  0 11:36 ?        00:00:03 [rcu_preempt]
root          18       2  0 11:36 ?        00:00:00 [migration/0]
root          19       2  0 11:36 ?        00:00:00 [idle_inject/0]
root          20       2  0 11:36 ?        00:00:00 [cpuhp/0]
root          21       2  0 11:36 ?        00:00:00 [cpuhp/2]
root          22       2  0 11:36 ?        00:00:00 [idle_inject/2]
root          23       2  0 11:36 ?        00:00:00 [migration/2]
root          24       2  0 11:36 ?        00:00:00 [ksoftirqd/2]
root          26       2  0 11:36 ?        00:00:00 [kworker/2:0H-events_highpri]
root          27       2  0 11:36 ?        00:00:00 [cpuhp/1]
root          28       2  0 11:36 ?        00:00:00 [idle_inject/1]
root          29       2  0 11:36 ?        00:00:00 [migration/1]
root          30       2  0 11:36 ?        00:00:00 [ksoftirqd/1]
root          32       2  0 11:36 ?        00:00:00 [kworker/1:0H-events_highpri]
root          33       2  0 11:36 ?        00:00:00 [cpuhp/3]
root          34       2  0 11:36 ?        00:00:00 [idle_inject/3]
root          35       2  0 11:36 ?        00:00:00 [migration/3]
root          36       2  0 11:36 ?        00:00:00 [ksoftirqd/3]
root          38       2  0 11:36 ?        00:00:00 [kworker/3:0H-events_highpri]
root          39       2  0 11:36 ?        00:00:00 [kdevtmpfs]
root          40       2  0 11:36 ?        00:00:00 [kworker/R-inet_]
root          42       2  0 11:36 ?        00:00:00 [kauditd]
root          43       2  0 11:36 ?        00:00:00 [khungtaskd]
root          44       2  0 11:36 ?        00:00:00 [oom_reaper]
root          46       2  0 11:36 ?        00:00:00 [kworker/R-write]
root          47       2  0 11:36 ?        00:00:00 [kcompactd0]
root          48       2  0 11:36 ?        00:00:00 [ksmd]
root          50       2  0 11:36 ?        00:00:00 [khugepaged]
root          51       2  0 11:36 ?        00:00:00 [kworker/R-kinte]
root          52       2  0 11:36 ?        00:00:00 [kworker/R-kbloc]
root          53       2  0 11:36 ?        00:00:00 [kworker/R-blkcg]
root          54       2  0 11:36 ?        00:00:00 [irq/9-acpi]
root          56       2  0 11:36 ?        00:00:00 [kworker/R-tpm_d]
root          57       2  0 11:36 ?        00:00:00 [kworker/R-ata_s]
root          58       2  0 11:36 ?        00:00:00 [kworker/R-md]
root          59       2  0 11:36 ?        00:00:00 [kworker/R-md_bi]
root          60       2  0 11:36 ?        00:00:00 [kworker/R-edac-]
root          61       2  0 11:36 ?        00:00:00 [kworker/R-devfr]
root          62       2  0 11:36 ?        00:00:00 [watchdogd]
root          63       2  0 11:36 ?        00:00:00 [kworker/0:1H-kblockd]
root          64       2  0 11:36 ?        00:00:00 [kswapd0]
root          65       2  0 11:36 ?        00:00:00 [ecryptfs-kthread]
root          66       2  0 11:36 ?        00:00:01 [kworker/3:1-mm_percpu_wq]
root          67       2  0 11:36 ?        00:00:00 [kworker/R-kthro]
root          68       2  0 11:36 ?        00:00:00 [kworker/R-acpi_]
root          70       2  0 11:36 ?        00:00:02 [kworker/u8:4-events_unbound]
root          71       2  0 11:36 ?        00:00:00 [kworker/R-mld]
root          72       2  0 11:36 ?        00:00:00 [kworker/R-ipv6_]
root          73       2  0 11:36 ?        00:00:00 [kworker/3:1H-kblockd]
root          75       2  0 11:36 ?        00:00:02 [kworker/2:2-events]
root          81       2  0 11:36 ?        00:00:00 [kworker/R-kstrp]
root          83       2  0 11:36 ?        00:00:00 [kworker/u9:0]
root          96       2  0 11:36 ?        00:00:00 [kworker/R-charg]
root         122       2  0 11:36 ?        00:00:00 [kworker/2:1H-kblockd]
root         123       2  0 11:36 ?        00:00:00 [kworker/1:1H-kblockd]
root         150       2  0 11:36 ?        00:00:00 [hwrng]
root         163       2  0 11:36 ?        00:00:00 [scsi_eh_0]
root         164       2  0 11:36 ?        00:00:00 [kworker/R-scsi_]
root         166       2  0 11:36 ?        00:00:00 [scsi_eh_1]
root         167       2  0 11:36 ?        00:00:00 [kworker/R-scsi_]
root         168       2  0 11:36 ?        00:00:00 [scsi_eh_2]
root         171       2  0 11:36 ?        00:00:00 [kworker/R-scsi_]
root         172       2  0 11:36 ?        00:00:00 [scsi_eh_3]
root         175       2  0 11:36 ?        00:00:00 [kworker/R-scsi_]
root         177       2  0 11:36 ?        00:00:00 [scsi_eh_4]
root         179       2  0 11:36 ?        00:00:00 [kworker/R-scsi_]
root         181       2  0 11:36 ?        00:00:00 [scsi_eh_5]
root         183       2  0 11:36 ?        00:00:00 [kworker/R-scsi_]
root         242       2  0 11:36 ?        00:00:00 [jbd2/sda2-8]
root         243       2  0 11:36 ?        00:00:00 [kworker/R-ext4-]
root         308       1  0 11:36 ?        00:00:01 /usr/lib/systemd/systemd-journald
root         316       2  0 11:36 ?        00:00:01 [kworker/0:2-events]
root         322       2  0 11:36 ?        00:00:00 [kworker/3:3-cgroup_destroy]
root         364       1  0 11:36 ?        00:00:01 /usr/lib/systemd/systemd-udevd
root         378       2  0 11:36 ?        00:00:00 [psimon]
systemd+     625       1  0 11:36 ?        00:00:01 /usr/lib/systemd/systemd-oomd
systemd+     632       1  0 11:36 ?        00:00:00 /usr/lib/systemd/systemd-resolved
systemd+     641       1  0 11:36 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
avahi        696       1  0 11:36 ?        00:00:00 avahi-daemon: running [dlani-sweeney-Standard-PC-Q35-ICH9-2009.local]
message+     697       1  0 11:36 ?        00:00:03 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+     700       1  0 11:36 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd      704       1  0 11:36 ?        00:00:01 /usr/lib/polkit-1/polkitd --no-debug
root         705       1  0 11:36 ?        00:00:00 /usr/libexec/power-profiles-daemon
root         722       1  0 11:36 ?        00:00:01 /usr/lib/systemd/systemd-logind
root         723       1  0 11:36 ?        00:00:00 /usr/libexec/accounts-daemon
root         724       1  0 11:36 ?        00:00:00 /usr/sbin/cron -f -P
root         728       1  0 11:36 ?        00:00:00 /usr/libexec/switcheroo-control
root         736       1  0 11:36 ?        00:00:01 /usr/libexec/udisks2/udisksd
avahi        757     696  0 11:36 ?        00:00:00 avahi-daemon: chroot helper
root         762       1  0 11:36 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root         767       1  0 11:36 ?        00:00:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
syslog       770       1  0 11:36 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         827       1  0 11:36 ?        00:00:00 /usr/sbin/ModemManager
root         963       1  0 11:36 ?        00:00:00 /usr/sbin/cupsd -l
